of documents 1 of 1
data from the 4 6
data from with 1 2
data on the 2 1
date august language 16 3
date december language 6 1
date february language 8 1
date january language 7 5
date july language 5 1
date november language 11 2
dealing with shrinking 1 2
december language english 6 1
decided to approach 1 2
decrease in the 1 2
department about using 1 2
department became the 1 2
department get ahead 1 2
department has seen 1 2
department it s 1 2
department s predictive 1 1
department we re 1 2
department will work 1 2
departments are also 1 2
departments dealing with 1 2
determine where future 1 2
developed the program 1 2
devices that help 1 2
diane sawyer among 1 2
director of the 1 1
distributed by mcclatchy 49 6
distributed by mct 17 2
division which is 1 2
divisions friend and 1 2
do a full 1 2
documents contra costa 1 2
documents san jose 1 3
documents santa cruz 1 4
documents the international 1 1
documents the new 1 1
don t know 2 3
dr george mohler 1 1
due to budget 1 2
earlier this week 2 2
earthquake aftershock model 1 2
earthquake in that 1 2
earthquake prediction technology 1 2
ease the pain 1 2
economic troubles technological 1 2
electric car and 1 2
enforcement agencies around 1 4
english acc no 33 4
english graphic photo 4 1
english graphic publication 22 5
english publication type 28 2
entire santa cruz 1 2
equalize the gap 1 2
escalante visited lapd 1 2
executive director of 1 1
features in the 1 2
february language english 8 1
first half of 2 1
first in the 1 6
first read about 1 2
first six months 1 3
focus on property 1 2
focused a lot 1 2
following an initial 1 2
for helping the 1 2
for its innovation 1 2
for longer periods 1 1
for more information 20 2
for our predictive 1 2
for the department 1 2
for the police 1 2
friend and lt 1 2
friend and santa 1 6
friend c the 1 1
friend first read 1 2
friend spokesman and 1 2
friend who was 1 2
from los angeles 1 1
from the los 14 6
from with a 1 2
full analysis of 1 2
future crimes will 1 4
gap there said 1 2
garnered yet another 1 2
george mohler in 1 2
get ahead of 1 2
given the nation 1 2
go to http 16 4
graphic publication type 22 5
group inc all 21 1
guys it joins 1 2
half of the 1 1
has been a 1 1
has been on 1 1
has been praised 1 2
has garnered yet 1 2
has not been 3 1
has seen a 1 2
has started testing 1 2
has yet to 1 2
have all been 1 2
he said adding 1 1
he said he 5 4
he said i 3 1
he said it 3 3
he said load 2 2
he said that 2 1
he said the 5 4
head of the 2 3
help ease the 1 2
help equalize the 1 2
help people walk 1 2
helping the department 1 2
herald tribune all 1 1
him with crime 1 2
his wife and 1 1
holographic mapping we 1 2
home which is 1 2
honor but what 1 2
honored by time 1 2
honored to be 1 3
how its worked 1 2
http www nytimes 1 1
i don t 3 2
i think the 1 6
implementation other police 1 2
implemented in july 1 2
implemented the department 1 2
implementing it in 1 2
implementing the program 1 2
importance given the 1 2
important is that 1 2
in a way 1 4
in addition to 1 1
in bringing the 1 2
in crimes said 1 2
in january the 1 2
in july and 2 2
in july to 1 1
in los angeles 33 9
in newsstands the 1 1
in one of 5 2
in previous years 1 2
in santa cruz 2 17
in some ways 3 4
in that area 2 1
in that the 1 2
in the city 4 1
in the coming 2 4
in the first 4 7
in the last 1 1
in the los 4 4
in the nation 4 6
in the neighborhood 1 4
in the new 3 6
in the nov 1 2
in the s 9 1
in the targeted 1 2
in the u 1 1
in the world 2 1
in the year 2 2
in time to 1 1
inc all rights 435 1
includes burglaries and 1 2
including features in 1 2
increasing importance given 1 2
information about the 22 2
information services for 16 2
information services load 17 2
information services mct 16 2
initial crime friend 1 2
initially using data 1 2
innovation including features 1 2
innovation is the 1 2
instrumental in bringing 1 2
international herald tribune 2 2
into implementing the 1 2
inventions as the 1 2
inventions byline jessica 1 1
inventions honored by 1 2
inventions in previous 1 2
inventions issue annually 1 2
inventions of by 1 2
ipad the electric 1 2
is a big 1 2
is a crime 1 2
is already in 1 1
is based on 4 4
is being named 1 2
is going to 1 3
is one of 2 1
is that since 1 2
is the key 1 2
is three times 1 2
issue annually other 1 2
issue which is 1 2
it doesn t 1 2
it implemented in 1 2
it in santa 1 2
it joins the 1 2
it s an 1 4
it s not 3 3
it s similar 1 2
it s the 6 1
it s very 3 2
it turns out 1 2
it was a 1 2
its best new 1 2
its divisions friend 1 2
its innovation including 1 2
its use of 2 1
its worked in 1 2
january language english 7 5
january the police 1 2
jessica m pasko 1 2
joins the ranks 1 2
jose mercury news 2 6
journal code qc 1 4
july and since 1 2
july language english 5 1
keeps our community 1 2
kevin vogel innovation 1 2
key to modern 1 2
know where to 3 1
language english acc 33 4
language english graphic 31 7
language english publication 28 2
lapd earlier this 1 2
lapd has started 1 2
large reduction in 1 2
last year and 1 2
last year in 1 1
late edition final 1 1
law enforcement agencies 6 6
leaders met with 1 6
length words dec 4 1
length words jan 3 2
length words nov 7 1
length words the 2 1
less on the 1 2
leveraging technology in 1 4
like this can 1 2
load date august 16 3
load date december 218 1
load date february 8 1
load date january 199 5
load date july 5 1
load date november 11 2
local length words 3 3
long beach police 1 4
look at the 3 1
looking into implementing 1 2
los angeles and 12 9
los angeles is 3 2
los angeles police 30 4
los angeles times 12 4
los angeles to 1 1
lot less on 1 2
lt bernie escalante 1 2
m pasko santa 1 1
magazine for our 1 2
magazine in the 1 2
magazine names santa 2 3
mapping we are 1 2
matter of increasing 1 2
mcclatchy tribune business 33 4
mcclatchy tribune information 32 4
mct information services 17 2
mct visit www 16 2
mctinfoservices com load 16 2
media outlets and 1 2
medianews group inc 21 1
members of the 1 2
mercury news all 1 3
mercury news california 1 3
met with mohler 1 6
model predicts that 1 2
model to determine 1 2
modern policing and 1 2
mohler about implementing 1 2
mohler and provided 1 2
mohler developed the 1 2
mohler in the 1 2
months of implementation 1 2
more and more 1 1
more important is 1 2
more information about 18 2
more of the 2 2
motor vehicle thefts 1 2
much of a 1 2
named among the 1 2
named as one 1 2
names santa cruz 2 3
nation for its 1 2
nation s economic 1 2
nation to use 1 6
new inventions issue 1 2
new york city 1 1
new york times 3 5
news all rights 1 3
news california july 1 1
news december thursday 1 1
news length words 47 5
news local length 3 3
news november wednesday 3 1
news pg a 9 1
news pg length 3 1
news with diane 1 2
newspaper copyright contra 1 2
newspaper copyright international 1 1
newspaper copyright medianews 21 1
newspaper copyright san 1 3
newspaper copyright the 6 1
newspaper go to 1 2
newspaper journal code 40 4
newspapers all rights 1 2
newsstands the program 1 2
no qc time 1 1
none other than 1 1
nov issue which 1 2
nov santa cruz 1 1
november language english 11 2
november wednesday time 1 2
nytimes com load 1 1
occur initially using 1 2
of an aftershock 1 2
of by none 1 1
of crime data 1 5
of crime reports 1 4
of departments dealing 1 2
of documents contra 1 2
of documents san 16 3
of documents santa 1 4
of documents the 20 2
of implementation other 1 2
of increasing importance 1 2
of its divisions 1 2
of justice the 1 1
of such inventions 1 2
of the bad 1 2
of the best 1 2
of the city 3 4
of the crime 2 2
of the criminal 1 1
of the division 1 2
of the entire 1 2
of the los 6 2
of the police 1 3
of the program 1 4
of the worst 1 1
of the year 2 3
of ucla researchers 1 2
of where the 1 1
offered by mcclatchy 16 2
on abc world 1 2
on by santa 1 2
on earthquake prediction 1 2
on property crimes 1 6
on the actual 1 2
on the coverage 1 2
on the new 1 1
on the project 1 1
one of its 1 2
one of the 16 8
or to subscribe 1 2
other inventions honored 1 2
other police departments 1 2
other than time 1 1
others being recognized 1 2
our community safer 1 2
our predictive policing 1 2
out it s 1 2
out of a 1 1
out of the 6 1
outlets and law 1 2
p m for 3 4
pain of departments 1 2
part of a 4 1
part of the 5 1
parts of the 1 2
pasko santa cruz 1 1
people out and 1 1
people walk again 1 2
percent of the 1 1
pg a length 14 1
pg length words 16 2
police chief kevin 1 2
police department about 1 2
police department for 3 2
police department it 1 2
police department s 4 7
police department said 1 4
police department will 1 2
police departments are 1 2
police leaders met 1 6
police said the 3 1
policing and we 1 2
policing in the 2 4
policing program being 1 2
policing program has 1 1
policing program one 2 2
policing program said 1 2
praised by media 1 2
praised for helping 1 2
predictability of an 1 2
prediction technology has 1 2
predictive policing program 5 8
predictive program which 1 2
predicts that there 1 2
previous years time 1 2
processors and holographic 1 2
program after the 1 2
program and how 1 2
program being worked 1 2
program can also 1 2
program has garnered 1 1
program is being 1 2
program one of 2 2
program said police 1 2
program to santa 1 2
program was implemented 1 2
program was praised 1 2
program which it 1 2
program which lapd 1 2
program which uses 1 2
program with a 1 2
programs like this 1 2
property crimes the 1 2
proud to be 1 2
provided by the 1 2
provided him with 1 2
publication type newspaper 95 13
putting police officers 1 1
qc copyright santa 1 4
qc time magazine 1 1
ranks of such 1 2
re focused a 1 2
re proud to 1 2
read about the 1 2
recognized by time 2 4
reduction in crimes 1 2
reduction said friend 1 2
regional news length 32 4
releases its best 1 2
researchers to do 1 2
researchers using an 1 2
reserved of documents 61 7
rights reserved of 61 7
s a new 1 2
s dr george 1 1
s economic troubles 1 2
s more important 1 2
s predictive policing 1 2
s similar to 1 2
s siri d 1 2
s top inventions 1 2
safer the program 1 2
said adding that 1 1
said friend c 1 1
said friend who 1 2
said i m 1 1
said it s 2 7
said it was 2 1
said load date 2 2
said police chief 1 2
said that s 1 1
said that the 1 2
said to see 1 2
said we re 1 4
said zach friend 1 5
san bernardino county 2 1
san jose mercury 2 6
santa clara university 1 22
santa cruz calif 1 1
santa cruz friend 1 3
santa cruz mohler 1 6
santa cruz police 2 41
santa cruz predictive 2 2
santa cruz sentinel 5 20
santa cruz the 2 4
santacruzsentinel com distributed 1 2
sawyer among others 1 2
say they ve 2 2
says it s 1 3
scotts valley calif 2 4
section news length 14 1
section news pg 12 2
section state and 32 4
see more of 16 2
seen a decrease 1 1
seen a large 1 2
sentinel calif section 1 4
sentinel california distributed 1 4
sentinel of documents 1 4
sentinel scotts valley 2 4
services for more 16 2
services load date 22 2
services mct visit 16 2
services offered by 16 2
sheriff s department 30 2
sheriff s station 2 1
shootings and the 1 2
should be the 2 1
shrinking staffing due 1 2
similar to the 1 2
since the program 1 2
since then they 1 1
siri d processors 1 2
six months of 1 2
six months the 2 2
size of the 1 2
so called after 1 2
some ways it 3 2
speak to members 1 2
spokesman and crime 1 2
staff writer section 6 1
staffing due to 1 2
started testing in 1 2
state and regional 32 4
stations in the 1 1
subscribe to the 1 2
such inventions as 1 2
taken into custody 2 2
targeted crime types 1 2
team of ucla 1 2
technological programs like 1 2
technology based on 1 2
technology has been 1 2
technology in a 1 4
testing in one 1 2
than time magazine 1 1
than we are 1 2
that crime is 1 4
that help people 1 2
that keeps our 1 2
that led the 1 1
that s where 3 2
that since the 1 2
that the model 1 2
that there will 1 2
that they are 1 2
the accolades than 1 2
the actual reduction 1 2
the bad guys 1 2
the best inventions 1 2
the city police 1 2
the city s 9 8
the coming months 1 4
the content services 16 2
the coverage and 1 2
the crime data 1 2
the crime is 1 4
the day the 1 2
the department became 1 2
the department get 1 2
the department has 3 2
the department s 1 6
the department we 1 2
the division which 1 2
the early s 2 1
the effect on 1 1
the electric car 1 2
the entire santa 1 2
the first half 2 1
the first in 1 6
the first six 1 2
the gap there 1 2
the head of 2 1
the idea is 1 1
the international herald 1 1
the ipad the 1 2
the key to 1 2
the los angeles 65 14
the model predicts 1 2
the most efficient 1 1
the nation for 1 2
the nation s 4 2
the nation to 1 6
the new york 6 5
the newspaper go 1 2
the nov issue 1 2
the number of 5 2
the pain of 1 2
the person is 2 4
the police department 4 8
the predictability of 1 2
the predictive policing 1 2
the predictive program 1 2
the program after 1 2
the program and 1 2
the program can 1 2
the program is 1 4
the program s 1 2
the program to 1 4
the program was 2 5
the program which 2 4
the program with 1 2
the ranks of 2 2
the researchers to 1 2
the robber s 1 1
the s when 1 1
the same period 1 1
the same time 4 4
the same way 1 2
the san bernardino 2 2
the santa cruz 2 19
the sheriff s 13 3
the size of 1 2
the start of 1 1
the targeted crime 1 2
the top inventions 1 2
the u s 5 1
the united states 1 1
the university of 3 1
the use of 3 2
the year s 1 2
thefts in january 1 2
then they ve 1 1
there has been 1 1
there s a 4 2
there said friend 1 2
there will be 2 3
they are not 1 4
they should be 1 1
they ve already 1 1
this can help 1 2
this week to 1 2
this year are 1 2
three times the 1 2
time is a 1 2
time magazine for 1 2
time magazine in 1 2
time magazine names 2 3
time releases its 1 2
time this year 1 2
times and on 1 2
times company of 1 1
times last year 1 2
times the size 1 2
to approach mohler 1 2
to be a 5 1
to be leveraging 1 2
to be recognized 1 2
to be the 1 4
to budget cuts 1 2
to commit a 2 1
to determine where 1 2
to do a 1 2
to do is 1 1
to fight crime 1 3
to http www 16 2
to los angeles 2 1
to members of 1 2
to modern policing 1 2
to prevent it 1 4
to santa cruz 1 6
to see more 16 2
to speak to 1 2
to subscribe to 1 2
to the department 2 1
to the newspaper 1 2
to the predictability 1 2
to use the 3 2
top inventions byline 1 2
top inventions in 1 2
tribune all rights 1 2
tribune business news 33 4
tribune information services 32 4
troubles technological programs 1 2
turns out that 1 2
two or three 1 1
type newspaper copyright 55 9
type newspaper journal 40 4
types which includes 1 2
ucla researchers using 1 2
university s dr 1 1
url http www 1 1
use the predictive 1 2
uses technology based 1 2
using an earthquake 1 2
using data from 1 2
using the program 1 4
valley calif at 1 2
valley calif visit 1 2
ve already seen 1 1
vehicle thefts in 1 2
visit the santa 1 2
visit www mctinfoservices 16 2
visited lapd earlier 1 2
vogel innovation is 1 2
walk again which 1 2
walked into the 1 1
was implemented the 1 2
was instrumental in 1 2
was praised for 1 2
was stationed in 1 1
way that keeps 1 2
ways it s 3 2
we are honored 1 2
we are on 2 2
we don t 3 6
we have a 1 2
we have to 2 4
we re focused 1 2
we re going 2 1
we re proud 1 2
wednesday time magazine 1 2
week to speak 1 2
well as the 2 3
were down percent 3 2
were taken into 1 2
what happens when 1 2
what s more 1 2
what we ve 1 1
when it was 1 4
where future crimes 1 4
where to look 3 1
which have all 1 2
which includes burglaries 1 2
which is already 3 2
which is three 1 2
which it implemented 1 2
which lapd has 1 2
which uses technology 1 2
who was instrumental 1 2
wife and two 1 1
will be so 1 2
will occur initially 1 2
will take over 1 1
will work with 1 2
with a focus 1 2
with a team 1 2
with crime data 1 6
with diane sawyer 1 2
with mohler and 1 6
with shrinking staffing 1 2
with the city 1 1
with the researchers 1 4
with the sheriff 1 2
words nov santa 1 1
work with the 1 2
worked in santa 1 2
worked on by 1 2
works as an 1 1
world news with 1 2
writer section news 4 1
www mctinfoservices com 16 2
www nytimes com 1 1
www santacruzsentinel com 1 4
year and decided 1 2
year are apple 1 2
year publication type 1 1
year s top 1 2
years time releases 1 2
yet another accolade 1 2
york times and 1 2
york times company 1 1
zach friend spokesman 1 2
